This text was added by using code,Progress,Responsible,Notes,Feature Owner,Moderator,Code Collaborator ID,Test Type,Current,Reviewed By,Reviewed,Tested By,Tested,Approved By,Approved,Last Approved
ApprovalFilter.txt,150,,,erichewi,rilehudd,,No UT Paperwork,'25193e,,,willmorr,'25193e,rilehudd,'25193e,'25193e
BuildScripts\BuildDebug.bat,150,,Automatically Moved/Added 1/7/2013,erichewi,stango,,None.,'ab5108,,,erichewi,'e2d8e2,erichewi,'e2d8e2,
dummyKickBuild.txt,150,,,erichewi,rilehudd,,No UT Paperwork,'af063a,,,willmorr,'af063a,rilehudd,'af063a,'af063a
Modules\Alarms\Alarms.SL\AlarmBaseViewModel.cs,175,,"Reverted to approved c5a970, 3c7c50==c5a970",rilehudd,erichewi,,No UT Paperwork,'3c7c50,,'e0bcba,rilehudd,'3c7c50,erichewi,'3c7c50,
Modules\Alarms\Alarms.SL\AlarmButtonControl.cs,150,,"Move only, no file content change.",rilehudd,erichewi,,None.,'5f5868,,,erichewi,'5f5868,erichewi,'3c7c50,
Modules\Alarms\Alarms.SL\AlarmButtonControl.xaml,150,,,rilehudd,willmorr,,No UT Paperwork,'f3fa8c,,,rilehudd,'f3fa8c,willmorr,'f3fa8c,'f3fa8c
Modules\Alarms\Alarms.SL\AlarmButtonControl.xaml.cs,150,,,rilehudd,willmorr,,No UT Paperwork,'83a748,,,rilehudd,'83a748,willmorr,'83a748,'83a748
Modules\Alarms\Alarms.SL\AlarmButtonView.xaml,150,,,rilehudd,willmorr,,No UT Paperwork,'f3fa8c,,,rilehudd,'f3fa8c,willmorr,'f3fa8c,'f3fa8c
Modules\Alarms\Alarms.SL\AlarmButtonView.xaml.cs,150,,,rilehudd,willmorr,,No UT Paperwork,'f3fa8c,,,rilehudd,'f3fa8c,willmorr,'f3fa8c,'f3fa8c
Modules\Alarms\Alarms.SL\AlarmButtonViewModel.cs,150,,,rilehudd,willmorr,,No UT Paperwork,'ec70b4,,,rilehudd,'ec70b4,willmorr,'ec70b4,'ec70b4
Modules\Alarms\Alarms.SL\AlarmPanelView.xaml,150,,"Move only, no file content change.",rilehudd,erichewi,,None.,'5f5868,,,erichewi,'5f5868,erichewi,'5f5868,
Modules\Alarms\Alarms.SL\AlarmPanelView.xaml.cs,150,,,rilehudd,willmorr,,No UT Paperwork,'252224,,,rilehudd,'252224,willmorr,'252224,'252224
Modules\Alarms\Alarms.SL\AlarmPopupControl.xaml,150,,,rilehudd,willmorr,,No UT Paperwork,'968881,,,rilehudd,'968881,willmorr,'968881,'968881
Modules\Alarms\Alarms.SL\AlarmPopupControl.xaml.cs,150,,"Move only, no file content change.",rilehudd,erichewi,,None.,'5f5868,,,erichewi,'5f5868,erichewi,'5f5868,
Modules\Alarms\Alarms.SL\DiagnosticAlarmViewModel.cs,175,,,rilehudd,willmorr,,No UT Paperwork,'c49e53,,'d5abb8,rilehudd,'c49e53,willmorr,'c49e53,'c49e53
Modules\Alarms\Alarms.SL\Properties\AssemblyInfo.cs,150,,"Move only, no file content change.",rilehudd,erichewi,,None.,'5f5868,,,erichewi,'5f5868,erichewi,'5f5868,
Modules\Alarms\Alarms.SL\Themes\Generic.xaml,150,,"Move only, no file content change.",rilehudd,erichewi,,None.,'5f5868,,,erichewi,'5f5868,erichewi,'5f5868,
Modules\Alarms\AlarmsProcessor\AlarmsProcessorMain.cs,175,,,rilehudd,erichewi,,No UT Paperwork,'3c7c50,,'309dc2,rilehudd,'3c7c50,erichewi,'3c7c50,
Modules\Alarms\AlarmsProcessor\app.config,150,,"Move only, no file content change.",rilehudd,erichewi,,None.,'5f5868,,,erichewi,'5f5868,erichewi,'5f5868,
Modules\Alarms\AlarmsProcessor\Properties\AssemblyInfo.cs,150,,"Move only, no file content change.",rilehudd,erichewi,,None.,'5f5868,,,erichewi,'5f5868,erichewi,'5f5868,
Modules\Alarms\Alarms\AlarmDetail.cs,150,,"Move only, no file content change.",rilehudd,erichewi,,None.,'5f5868,,,erichewi,'5f5868,erichewi,'5f5868,
Modules\Alarms\Alarms\AlarmsDatabase.cs,175,,,rilehudd,erichewi,,No UT Paperwork,'c7b594,,'163d42,willmorr,'c7b594,erichewi,'c7b594,'c7b594
Modules\Alarms\Alarms\AlarmStatus.cs,175,,,rilehudd,willmorr,,No UT Paperwork,'252224,,'352740,rilehudd,'252224,willmorr,'252224,'252224
Modules\Alarms\Alarms\AlarmStatusWrapper.cs,150,,,rilehudd,erichewi,,No UT Paperwork,'3c7c50,,,rilehudd,'3c7c50,erichewi,'3c7c50,
Modules\Alarms\Alarms\AlarmsWebService.cs,175,,,rilehudd,erichewi,,No UT Paperwork,'c7b594,,'bfc43c,willmorr,'c7b594,erichewi,'c7b594,'c7b594
Modules\Alarms\Alarms\Config.cs,150,,,rilehudd,erichewi,,No UT Paperwork,'3c7c50,,,rilehudd,'3c7c50,erichewi,'3c7c50,
Modules\Alarms\Alarms\Properties\AssemblyInfo.cs,150,,"Move only, no file content change.",rilehudd,erichewi,,None.,'5f5868,,,erichewi,'5f5868,erichewi,'5f5868,
Modules\Alarms\Alarms\StationStatus.cs,150,,"Move only, no file content change.",rilehudd,erichewi,,None.,'5f5868,,,erichewi,'5f5868,erichewi,'5f5868,
Modules\Alarms\Alarms\WebService.cs,150,,"Move only, no file content change.",rilehudd,erichewi,,None.,'5f5868,,,erichewi,'5f5868,erichewi,'5f5868,
Modules\Alarms\Alarms\WebService.tt,150,,"Move only, no file content change.",rilehudd,erichewi,,None.,'5f5868,,,erichewi,'5f5868,erichewi,'5f5868,
Modules\AssetStatus\Silverlight\AssetStatus\MainView.xaml,150,,"Approved on previous release, converting to new RecSharp format.",rilehudd,erichewi,,None.,'75dc6b,,,erichewi,'75dc6b,erichewi,'75dc6b,
Modules\AssetStatus\Silverlight\AssetStatus\MainView.xaml.cs,150,,"Approved on previous release, converting to new RecSharp format.",rilehudd,erichewi,,None.,'b90c83,,,erichewi,'b90c83,erichewi,'b90c83,
Modules\AssetStatus\Silverlight\AssetStatus\MainViewModel.cs,150,,,rilehudd,stango,,No UT Paperwork,'c5dda2,,,erichewi,'c5dda2,stango,'c5dda2,'c5dda2
Modules\AssetStatus\Silverlight\AssetStatus\Properties\AppManifest.xml,150,,"Approved on previous release, converting to new RecSharp format.",rilehudd,erichewi,,None.,'ee2e68,,,erichewi,'ee2e68,erichewi,'ee2e68,
Modules\AssetStatus\Silverlight\AssetStatus\Properties\AssemblyInfo.cs,150,,"Approved on previous release, converting to new RecSharp format.",rilehudd,erichewi,,None.,'5b1dad,,,erichewi,'5b1dad,erichewi,'5b1dad,
Modules\AssetStatus\Silverlight\AssetStatus\RegionContentInfo.cs,150,,"Approved on previous release, converting to new RecSharp format.",rilehudd,erichewi,,None.,'05c403,,,erichewi,'05c403,erichewi,'05c403,
Modules\AssetStatus\Silverlight\AssetStatus\StatusConverter.cs,150,,"Approved on previous release, converting to new RecSharp format.",rilehudd,erichewi,,None.,'2ce623,,,erichewi,'2ce623,erichewi,'2ce623,
